Bug,Where,Price,StartTime,EndTime,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Agrias Butterfly,2,3000,0800,1700,0,0,0,1,1,1,1,1,1,0,0,0
Ant,10,80,0000,0000,1,1,1,1,1,1,1,1,1,1,1,1
Atlas Moth,13,3000,1900,0400,0,0,0,1,1,1,1,1,1,0,0,0
Bagworm,1,600,0000,0000,1,1,1,1,1,1,1,1,1,1,1,1
Banded Dragonfly,2,4500,0800,1700,0,0,0,0,1,1,1,1,1,1,0,0
Bell Cricket,7,430,1700,0800,0,0,0,0,0,0,0,0,1,1,0,0
Blue Weevil Beetle,13,0,0000,0000,0,0,0,0,0,0,1,1,0,0,0,0
Brown Cicada,13,250,0800,1700,0,0,0,0,0,0,1,1,0,0,0,0
Centipede,4,300,1600,2300,1,1,1,1,1,1,0,0,1,1,1,1
Cicada Shell,13,0,0000,0000,0,0,0,0,0,0,1,1,0,0,0,0
Citrus Long-horned Beetle,12,350,0000,0000,1,1,1,1,1,1,1,1,1,1,1,1
Common Bluebottle,2,300,0400,1900,0,0,0,1,1,1,1,1,0,0,0,0
Common Butterfly,2,160,0400,1900,1,1,1,1,1,1,0,0,1,1,1,1
Cricket,7,130,1700,0800,0,0,0,0,0,0,0,0,1,1,1,0
Cyclommatus Stag,13,0,1700,0800,0,0,0,0,0,0,1,1,0,0,0,0
Damselfly,2,500,0000,0000,1,1,0,0,0,0,0,0,0,0,1,1
Darner Dragonfly,2,230,0800,1700,0,0,0,1,1,1,1,1,1,1,0,0
Diving Beetle,17,800,0800,1900,0,0,0,0,1,1,1,1,1,0,0,0
Drone Beetle,13,200,0000,0000,0,0,0,0,0,1,1,1,0,0,0,0
Dung Beetle,7,0,0000,0000,1,1,0,0,0,0,0,0,0,0,0,1
Earth-boring Dung Beetle,7,300,0000,0000,0,0,0,0,0,0,1,1,1,0,0,0
Emperor Butterfly,2,4000,1700,0800,1,1,1,0,0,1,1,1,1,0,0,1
Evening Cicada,13,0,0400,0800,0,0,0,0,0,0,1,1,0,0,0,0
Evening Cicada,13,0,1600,1900,0,0,0,0,0,0,1,1,0,0,0,0
Firefly,2,300,1900,0400,0,0,0,0,0,1,0,0,0,0,0,0
Flea,14,70,0000,0000,0,0,0,1,1,1,1,1,1,1,1,0
Fly,11,0,0000,0000,1,1,1,1,1,1,1,1,1,1,1,1
Giant Cicada,13,0,0800,1700,0,0,0,0,0,0,1,1,0,0,0,0
Giant Stag,13,0,2300,0800,0,0,0,0,0,0,1,1,0,0,0,0
Giant Water Bug,17,2000,1900,0800,0,0,0,1,1,1,1,1,1,0,0,0
Giraffe Stag,13,0,1700,0800,0,0,0,0,0,0,1,1,0,0,0,0
Golden Stag,13,0,1700,0800,0,0,0,0,0,0,1,1,0,0,0,0
Goliath Beetle,13,8000,1700,0800,0,0,0,0,0,1,1,1,1,0,0,0
Grasshopper,7,160,0800,1700,0,0,0,0,0,0,1,1,1,0,0,0
Great Purple Emperor,2,0,0400,1900,0,0,0,0,1,1,1,1,0,0,0,0
Hermit Crab,0,1000,1900,0800,1,1,1,1,1,1,1,1,1,1,1,1
Honeybee,2,200,0800,1700,0,0,1,1,1,1,1,0,0,0,0,0
Horned Atlas,13,0,1700,0800,0,0,0,0,0,0,1,1,0,0,0,0
Horned Dynastid,13,0,1700,0800,0,0,0,0,0,0,1,1,0,0,0,0
Horned Elephant,13,0,1700,0800,0,0,0,0,0,0,1,1,0,0,0,0
Horned Herucles,13,0,1700,0800,0,0,0,0,0,0,1,1,0,0,0,0
Jewel Beetle,13,2400,0000,0000,0,0,0,1,1,1,1,1,0,0,0,0
Ladybug,6,200,0800,1700,0,0,1,1,1,1,0,0,0,1,0,0
Long Locust,7,200,0800,1900,0,0,0,1,1,1,1,1,1,1,1,0
Madagascan Sunset Moth,2,2500,0800,1600,0,0,0,1,1,1,1,1,1,0,0,0
Man-faced Stink Bug,6,1000,1900,0800,0,0,1,1,1,1,1,1,1,1,0,0
Mantis,6,430,0800,1700,0,0,1,1,1,1,1,1,1,1,1,0
Migratory Locust,7,600,0800,1900,0,0,0,0,0,0,0,1,1,1,1,0
Miyama Stag,13,0,0000,0000,0,0,0,0,0,0,1,1,0,0,0,0
Mole Cricket,18,500,0000,0000,1,1,1,1,1,0,0,0,0,0,1,1
Monach Butterfly,2,140,0400,1700,0,0,0,0,0,0,0,0,1,1,1,0
Mosquito,2,130,1700,0400,0,0,0,0,0,1,1,1,1,0,0,0
Moth,3,130,1900,0400,1,1,1,1,1,1,1,1,1,1,1,1
Orchid Mantis,15,2400,0800,1700,0,0,1,1,1,1,1,1,1,1,1,0
Paper Kite Butterfly,2,1000,0800,1900,1,1,1,1,1,1,1,1,1,1,1,1
Peacock Butterfly,2,2500,0400,1900,0,0,1,1,1,1,0,0,0,0,0,0
Pill Bug,4,250,2300,1600,1,1,1,1,1,1,0,0,1,1,1,1
Pondskater,16,130,0800,1900,0,0,0,0,1,1,1,1,1,0,0,0
Queen Alexandra's Birdwing,2,4000,0800,1600,0,0,0,0,1,1,1,1,1,0,0,0
Rainbow Stag,13,6000,1900,0800,0,0,0,0,0,1,1,1,1,0,0,0
Raja Brooke's Birdwing,2,2500,0800,1700,1,1,0,1,1,1,1,1,1,0,0,1
Red Dragonfly,2,180,0800,1900,0,0,0,0,0,0,0,0,1,1,0,0
Rice Grasshopper,7,160,0800,1900,0,0,0,0,0,0,0,1,1,1,1,0
Robust Cicada,13,0,0800,1700,0,0,0,0,0,0,1,1,0,0,0,0
Rosalia Batesi Beetle,12,3000,0000,0000,0,0,0,0,1,1,1,1,1,0,0,0
Saw Stag,13,0,0000,0000,0,0,0,0,0,0,1,1,0,0,0,0
Scarab Beetle,13,0,2300,0800,0,0,0,0,0,0,1,1,0,0,0,0
Scorpion,7,8000,1900,0400,0,0,0,0,1,1,1,1,1,1,0,0
Snail,8,250,0000,0000,1,1,1,1,1,1,1,1,1,1,1,1
Spider,1,480,1900,0800,1,1,1,1,1,1,1,1,1,1,1,1
Stinkbug,6,120,0000,0000,0,0,1,1,1,1,1,1,1,1,0,0
Tarantula,7,8000,1900,0400,1,1,1,1,0,0,0,0,0,0,1,1
Tiger Beetle,7,1500,0000,0000,0,1,1,1,1,1,1,1,1,1,0,0
Tiger Butterfly,2,240,0400,1900,0,0,1,1,1,1,1,1,1,0,0,0
Violin Beetle,12,450,0000,0000,0,0,0,0,1,1,0,0,1,1,1,0
Walker Cicada,13,400,0800,1700,0,0,0,0,0,0,0,1,1,0,0,0
Walking Leaf,5,600,0000,0000,0,0,0,0,0,0,1,1,1,0,0,0
Walking Stick,1,0,0400,0800,0,0,0,0,0,0,1,1,1,1,1,0
Walking Stick,1,0,1700,1900,0,0,0,0,0,0,1,1,1,1,1,0
Wasp,1,2500,0000,0000,1,1,1,1,1,1,1,1,1,1,1,1
Wharf Roach,9,200,0000,0000,1,1,1,1,1,1,1,1,1,1,1,1
Yellow Butterfly,2,160,0400,1900,0,0,1,1,1,1,0,0,1,1,0,0
